Index,Rarity,RT_Rarity,Headgear,Facial Hair,Hands,Mouth Accessory,Background,Hair,Body,Eyes,Tattoos,Earring,Clothing,Mouth
844,127.0,108,King's Crown,None,Player,None,Vice City Pink,Michael B.,Light Brown,Black Wayfarer,None,Double Helix,Friday Night Blazer,Shocked
845,187.1163,976,None,None,Player,None,Indigo,Luscious Brown,Robot,The Gambler,None,Gold Stud & Cross,Analyst Blazer,Vampire
846,256.9649,554,Helicopter Cap,None,Italian,Chad Mask,Indigo,None,Dark Brown,Regular,None,Silver Ring,Army Gear,Psycho Smile
847,125.0284,2792,Helicopter Cap,None,Rockstar,None,Acquamarine,None,Light Beige,Regular,None,None,WSC Trader,Psycho Smile
848,194.8569,980,None,None,Holy,None,Celadon,Top Knot,Dark Brown,YOLO-ed life savings,Tear Drop,Helix Set,Varsity Jacket,Vampire
849,175.6112,1395,None,None,Player,None,Malibu Blue,Frazzled Bleached,Zombie,AR Glasses,None,None,Kiss,Regular
850,119.1926,2915,None,None,Player,None,Vice City Pink,Surfer,Dark Brown,Angry,None,None,Degen T,Charming Smile
851,140.2586,2488,None,None,Italian,None,Orange Sherbet,Long Red Hair,Dark Brown,Hypnotized,None,None,WSC Red T,Killer Smile
852,183.0845,1157,Red Beanie,None,Rockstar,None,Celadon,Michael B.,Dark Brown,VR Headset,None,None,Exec Suit,Cuban Cigar
853,183.6708,1106,Red Beanie,None,Holy,None,Acquamarine,Michael B.,Zombie,Beer Goggles,None,None,Cookies N Cream Suit,Rainbow Grillz
854,243.71,131,Ninja Mask,None,Holy,None,Acquamarine,None,Light Brown,Accountant Rims,None,None,WSC Black T,None
855,220.8897,960,Born To Ape Helmet,Verdi Beard,Player,None,Indigo,Michael B.,Dark Brown,3D Glasses,None,None,Mink Coat,Regular
856,158.34,1950,None,None,Rockstar,None,Baby Yellow,Slicked Back,Light Beige,AR Glasses,None,None,This Guy F*cks Suit,420
857,202.4327,785,Oil Tycoon,None,Holy,None,Chrome,Michael B.,Light Beige,Stoned,None,Helix Set,Knight Armor,Regular
858,211.8138,829,None,None,Holy,None,Baby Yellow,Michael B.,Dark Brown,Black Wayfarer,None,Silver Ring,Puffer Vest,Drooling
859,169.1642,1914,None,None,Player,None,Celadon,Slicked Back,Robot,Stoned,None,None,Paper Hands,Killer Smile
860,183.3555,1609,None,Verdi Beard,Italian,None,Chrome,Top Knot,Light Beige,YOLO-ed life savings,None,Helix Set,WSC Red T,Charming Smile
861,256.5368,531,None,None,Rockstar,None,Orange Sherbet,Rainbow Fro,Dark Brown,Stoned,None,None,I Like The Stock T,Charming Smile
862,156.0,76,Astronaut Helmet,None,Holy,None,Indigo,None,Light Brown,None,None,None,WSC Black T,None
863,104.0495,3057,None,None,Rockstar,None,Chrome,Michael B.,Robot,Oval White Glasses,None,None,Cookies N Cream Suit,Drooling
864,155.0808,1978,None,None,Player,None,Malibu Blue,Slicked Back,Light Brown,Stoned,None,None,Exec Suit,Paint Mask
865,197.5897,1023,None,None,Player,None,Celadon,Black Fro,Zombie,Accountant Rims,Tear Drop,Silver Ring,Knight Armor,Regular
866,193.5644,1805,None,None,Holy,None,Chrome,Luscious Blonde,Light Beige,Possessed,Barbed Wire,None,VC Fleece,Cuban Cigar
867,236.3258,563,Wolf,None,Holy,None,Acquamarine,None,Light Brown,Stoned,None,None,Puffer Vest,Regular
868,240.4058,465,Gamer Headset,None,Holy,None,Baby Yellow,Balding,Dark Brown,Possessed,None,None,White Polo,Killer Smile
869,256.7824,1053,None,Thick Beard,Holy,None,Chrome,Fresh Cut,Zombie,Beer Goggles,None,None,Lehman Siblings T,Bubble Gum
870,161.1338,1831,None,None,Player,None,Malibu Blue,Hipster Beanie,Light Beige,Swimmies,None,None,Knight Armor,Drooling
871,152.4275,1946,None,None,Player,None,Acquamarine,Hipster Beanie,Robot,3D Glasses,None,None,Cookies N Cream Suit,Rainbow Grillz
872,177.2568,1247,Born To Ape Helmet,None,Rockstar,None,Vice City Pink,Murica,Light Brown,Stoned,None,Silver Ring,This Guy F*cks Suit,Regular
873,250.6581,361,WSC Cap,Verdi Beard,Holy,None,Acquamarine,None,Light Beige,Founder Life,69,Helix Set,Degen T,420
874,99.2782,3090,None,None,Rockstar,None,Orange Sherbet,Slicked Back,Light Beige,Angry,None,None,Friday Night Blazer,Killer Smile
875,240.6032,753,WSC Cap,None,Rockstar,None,Vice City Pink,None,Light Brown,Swimmies,69,None,Hodl 2 Moon T,Marlboro Red
876,148.0,67,Astronaut Helmet,None,Holy,None,Vice City Pink,None,Light Brown,None,None,None,Black Jeans Jacket,None
877,135.8211,2368,None,None,Player,None,Baby Yellow,Top Knot,Light Brown,VR Headset,None,None,Friday Night Blazer,Drooling
878,157.0438,1943,Doge Hat,None,Player,None,Baby Yellow,Michael B.,Light Beige,YOLO-ed life savings,None,None,Lehman Siblings T,Killer Smile
879,242.7541,485,None,None,Player,None,Vice City Pink,Luscious Brown,Light Beige,Aviators Cyborg,None,None,Puffer Vest,Killer Smile
880,193.1689,1102,None,None,Holy,None,Malibu Blue,Luscious Brown,Dark Brown,Clockwork Orange,None,Silver Ring,Paper Hands,Regular
881,203.5653,1666,None,None,Italian,None,Vice City Pink,Hipster Beanie,Dark Brown,Oval White Glasses,Full Face,None,80s Disco Suit,Charming Smile
882,170.7378,1575,None,None,Player,None,Acquamarine,Mullet,Light Beige,The Gambler,Rekt,Silver Ring,WcDonalds GM,Shocked
883,154.15,1846,Oil Tycoon,None,Player,None,Chrome,Michael B.,Light Beige,Cyborg,None,None,Cookies N Cream Suit,Regular
884,170.7546,1587,Ushanka,None,Holy,None,Baby Yellow,Murica,Light Beige,AR Glasses,None,None,Gala Suit,Regular
885,165.3437,1720,None,None,Holy,None,Chrome,Luscious Brown,Light Beige,Accountant Rims,None,None,White Polo,Psycho Smile
886,174.647,1345,Doge Hat,None,Player,None,Indigo,Balding,Light Brown,Accountant Rims,Tear Drop,None,Analyst Blazer,420
887,13.0,8,Unicorn,None,Holy,None,Malibu Blue,Luscious Blonde,Light Brown,Villain Monocle,None,None,Cookies N Cream Suit,Shocked
888,136.5775,2715,None,None,Player,None,Acquamarine,Slicked Back,Light Beige,Angry,Tear Drop,None,BTFD T,Psycho Smile
889,239.3158,705,Doge Hat,None,Player,None,Indigo,Michael B.,Dark Brown,Hypnotized,Bowie,None,Wen Moon T,Vampire
890,198.1375,970,Red Beanie,None,Rockstar,None,Chrome,Michael B.,Robot,Regular,Tear Drop,None,Varsity Jacket,Paint Mask
891,109.7457,3004,None,None,Player,None,Baby Yellow,Murica,Light Beige,Possessed,None,None,Cookies N Cream Suit,Psycho Smile
892,245.659,400,Saudi Prince,None,Player,None,Vice City Pink,Murica,Dark Brown,Hypnotized,None,None,80s Disco Suit,Rainbow Grillz
893,142.2544,2379,None,None,Holy,None,Vice City Pink,Luscious Brown,Dark Brown,Stoned,Tear Drop,Diamond Stud & Cross,Cookies N Cream Suit,Shocked
894,270.2882,284,None,None,Holy,None,Malibu Blue,Giga Chad,Dark Brown,Hypnotized,None,None,Degen T,Charming Smile
895,194.5817,1418,WSC Cap,None,Rockstar,None,Celadon,None,Light Beige,Accountant Rims,Tear Drop,None,Paper Hands,Killer Smile
896,153.0725,2068,None,None,Holy,None,Baby Yellow,Black Fro,Dark Brown,VR Headset,None,None,Mustard Polo,Regular
897,232.2533,275,Ushanka,None,Rockstar,None,Baby Yellow,Michael B.,Dark Brown,Hypnotized,Tear Drop,Silver Ring,Kiss,Psycho Smile
898,121.6558,2889,None,None,Italian,None,Baby Yellow,Dreadlocks,Light Beige,Stoned,None,None,Friday Night Blazer,Drooling
899,90.0,74,King's Crown,None,Player,None,Celadon,Michael B.,Zombie,Accountant Rims,None,None,Blood-stained T,Bubble Gum
900,175.8703,1936,None,None,Player,None,Chrome,Top Knot,Light Brown,Stoned,Rekt,None,Ape Suit,Charming Smile
901,266.182,436,None,None,Rockstar,None,Vice City Pink,Luscious Brown,Dark Brown,Oval White Glasses,None,None,Emperor Gown,Vampire
902,10.0,9,Unicorn,Verdi Beard,Rockstar,None,Vice City Pink,Michael B.,Light Beige,Stoned,None,None,80s Disco Suit,Cuban Cigar
903,141.0132,2182,Oil Tycoon,None,Player,None,Acquamarine,Murica,Light Beige,Stoned,None,None,WcDonalds GM,Charming Smile
904,271.9929,910,None,Thick Beard,Holy,None,Indigo,Long Red Hair,Dark Brown,AR Glasses,Rekt,None,White Polo,Charming Smile
905,214.967,1389,None,None,Italian,None,Vice City Pink,Punk Mohawk,Dark Brown,Oval White Glasses,Full Face,None,Gala Suit,Charming Smile
906,94.5457,3107,None,None,Rockstar,None,Orange Sherbet,Slicked Back,Light Beige,Regular,None,None,WcDonalds GM,Regular
907,201.7517,932,None,None,Rockstar,None,Chrome,Black Fro,Light Brown,3D Glasses,Rekt,Gold Stud & Cross,Cookies N Cream Suit,The pipe
908,58.0,126,Black Beanie,Verdi Beard,Player,None,Vice City Pink,None,Light Brown,Black Wayfarer,None,Gold Pendant,Game Over T,Regular
909,39.0,22,Bull Horns,None,Player,None,Orange Sherbet,Michael B.,Light Brown,Accountant Rims,None,None,Dapper Suit,Regular
910,194.8994,958,Born To Ape Helmet,None,Player,None,Vice City Pink,Balding,Light Brown,Regular,None,Double Helix,Samurai,Bubble Gum
911,215.0202,1072,Gamer Headset,None,Holy,None,Celadon,Michael B.,Dark Brown,Regular,69,None,80s Gym,Charming Smile
912,255.0,247,Oil Tycoon,None,Rockstar,None,Celadon,Michael B.,Light Brown,YOLO-ed life savings,None,Gold Stud & Cross,Bull Suit,Drooling
913,184.2297,1158,Samurai Helmet,None,Holy,None,Celadon,None,Dark Brown,Oval White Glasses,None,None,Shark Suit,Rainbow Grillz
914,158.4402,1894,Pirate,None,Holy,None,Celadon,Murica,Light Brown,Regular,None,None,Rambo,Shocked
915,148.8681,2308,None,None,Italian,None,Acquamarine,Mullet,Light Beige,YOLO-ed life savings,None,Double Helix,WSC Black T,Shocked
916,130.7087,2714,None,None,Italian,None,Baby Yellow,Mullet,Light Beige,Stoned,None,Double Helix,Cookies N Cream Suit,Shocked
917,173.3014,1505,Ushanka,None,Holy,None,Chrome,Michael B.,Robot,Swimmies,Tear Drop,None,Hawaiian Shirt,Charming Smile
918,184.6225,1674,Pirate,None,Holy,Chad Mask,Orange Sherbet,Michael B.,Light Brown,YOLO-ed life savings,None,None,80s Gym,Psycho Smile
919,32.0,34,Shark,None,Rockstar,None,Indigo,None,Light Brown,Possessed,None,None,Ape Suit,Regular
920,253.1042,111,Ninja Mask,None,Holy,None,Acquamarine,None,Zombie,Accountant Rims,None,None,BTFD T,None
921,125.9231,2809,None,None,Italian,None,Acquamarine,Top Knot,Light Brown,Regular,None,None,Cookies N Cream Suit,Vampire
922,212.5562,793,None,None,Holy,None,Indigo,Michael B.,Light Brown,VR Headset,None,None,Army Gear,Marlboro Red
923,220.0679,648,BlackBerry Cap,None,Player,None,Acquamarine,None,Zombie,Stoned,None,Helix Set,80s Disco Suit,Vampire
924,161.5541,1742,Pirate,None,Player,None,Acquamarine,Michael B.,Zombie,Black Wayfarer,None,None,Exec Suit,420
925,246.0413,443,None,None,Holy,None,Indigo,Michael B.,Light Brown,Three-Eyed,None,Helix Set,Exec Suit,Regular
926,191.2965,1338,Black Beanie,Verdi Beard,Player,None,Celadon,Balding,Robot,3D Glasses,None,None,Hawaiian Shirt,Charming Smile
927,199.2946,883,None,None,Holy,None,Orange Sherbet,Mullet,Light Brown,Regular,None,Helix Set,Kiss,Vampire
928,119.229,2837,None,None,Rockstar,None,Celadon,Murica,Light Brown,Regular,None,None,Analyst Blazer,Paint Mask
929,278.0,355,None,None,Italian,None,Acquamarine,Luscious Blonde,Psychedelic,YOLO-ed life savings,None,Double Helix,Emperor Gown,Regular
930,222.2194,698,None,None,Player,None,Indigo,Punk Mohawk,Dark Brown,Blasé,None,None,Puffer Vest,Regular
931,124.1424,2686,None,None,Player,None,Baby Yellow,Long Red Hair,Dark Brown,Oval White Glasses,None,None,Analyst Blazer,The pipe
932,112.9497,2965,None,None,Holy,None,Indigo,Rainbow Fro,Light Beige,Possessed,None,None,Analyst Blazer,Charming Smile
933,210.3515,814,None,None,Italian,None,Indigo,Michael B.,Robot,Three-Eyed,None,None,Friday Night Blazer,Regular
934,112.0,109,King's Crown,None,Player,None,Vice City Pink,Michael B.,Light Brown,YOLO-ed life savings,None,None,Kimono,420
935,118.2967,2895,None,None,Holy,None,Orange Sherbet,Slicked Back,Dark Brown,Accountant Rims,None,None,WSC Trader,Drooling
936,126.2738,2764,None,None,Rockstar,None,Chrome,Hipster Beanie,Light Brown,Oval White Glasses,None,None,Blue Jeans Jacket,Regular
937,165.4943,1817,None,None,Italian,None,Orange Sherbet,Luscious Blonde,Light Brown,VR Headset,None,None,WSC Black T,Psycho Smile
938,237.1521,630,Ushanka,None,Holy,None,Vice City Pink,Murica,Light Beige,Oval White Glasses,None,None,Papal Regalia,Regular
939,154.1616,2275,BlackBerry Cap,None,Italian,None,Celadon,None,Dark Brown,Stoned,None,None,WSC Black T,Drooling
940,209.3365,728,None,None,Rockstar,None,Vice City Pink,Punk Mohawk,Light Brown,Clockwork Orange,None,None,80s Disco Suit,Cuban Cigar
941,197.0075,1061,None,None,Player,None,Malibu Blue,Fresh Cut,Light Beige,Possessed,None,None,Ape Suit,Paint Mask
942,262.493,394,None,None,Player,None,Vice City Pink,Mullet,Light Beige,Bezos Glasses,None,None,Paper Hands,Drooling
943,169.0,80,Astronaut Helmet,None,Rockstar,None,Vice City Pink,None,Light Beige,None,None,None,Hawaiian Shirt,None
944,257.0,232,Saudi Prince,Verdi Beard,Holy,None,Celadon,Michael B.,Dark Brown,Swimmies,Full Face,None,Rough Night T,Charming Smile
945,171.8034,1431,Pirate,None,Player,None,Baby Yellow,Balding,Robot,Blasé,None,None,WSC Red T,Vampire
946,226.9421,590,Ushanka,None,Rockstar,None,Orange Sherbet,Murica,Light Brown,Aviators Cyborg,None,None,Rough Night T,Regular
947,191.0193,1739,None,None,Holy,None,Indigo,Black Fro,Dark Brown,Villain Monocle,69,None,WcDonalds GM,Psycho Smile
948,143.6174,2491,None,None,Rockstar,None,Chrome,Long Red Hair,Dark Brown,Stoned,None,None,Golf Polo,Bubble Gum
949,234.4743,145,Ninja Mask,None,Holy,None,Acquamarine,None,Robot,Stoned,None,None,Hawaiian Shirt,None
950,124.4754,2811,None,None,Player,None,Baby Yellow,Slicked Back,Light Brown,Swimmies,None,None,WSC Red T,Regular
951,229.0,219,Pirate,None,Holy,None,Baby Yellow,Michael B.,Dark Brown,Cyborg,None,Gold Stud & Cross,Bull Suit,Killer Smile
952,273.9443,1070,None,Wise Grey Beard,Rockstar,None,Orange Sherbet,Fresh Cut,Light Brown,Accountant Rims,Full Face,None,Psycho Rain Coat,Regular
953,216.7747,799,Helicopter Cap,None,Player,None,Indigo,None,Dark Brown,Angry,None,Diamond Stud & Cross,Paper Hands,Shocked
954,186.9087,1199,None,None,Holy,None,Malibu Blue,Dreadlocks,Zombie,3D Glasses,None,None,Golf Polo,420
955,136.9892,2734,None,None,Holy,None,Indigo,Hipster Beanie,Dark Brown,Stoned,None,None,Ouch!,Regular
956,163.3915,1744,None,None,Holy,None,Acquamarine,Fresh Cut,Dark Brown,VR Headset,None,None,Varsity Jacket,Drooling
957,217.7897,787,None,None,Player,None,Chrome,Punk Mohawk,Robot,VR Headset,Tear Drop,None,Samurai,Drooling
958,195.8255,1225,None,Verdi Beard,Player,None,Orange Sherbet,Mullet,Light Beige,Hypnotized,None,Silver Ring,80s Disco Suit,Charming Smile
959,167.4709,2189,None,Verdi Beard,Rockstar,None,Chrome,Mullet,Light Beige,Black Wayfarer,None,None,Exec Suit,420
960,180.1791,1191,Born To Ape Helmet,None,Holy,None,Celadon,Michael B.,Light Brown,AR Glasses,None,Silver Ring,This Guy F*cks Suit,Charming Smile
961,215.9751,635,Sombrero,None,Player,None,Chrome,Michael B.,Dark Brown,Oval White Glasses,Tear Drop,None,VC Fleece,Bubble Gum
962,158.2048,1896,None,None,Player,None,Baby Yellow,Murica,Light Beige,Angry,None,Helix Set,Rambo,Charming Smile
963,161.9724,1700,None,None,Holy,None,Chrome,Luscious Brown,Dark Brown,VR Headset,None,Double Helix,Exec Suit,Shocked
964,147.1706,2251,None,None,Holy,None,Orange Sherbet,Michael B.,Light Beige,Hypnotized,None,Silver Ring,Trench Coat,Regular
965,149.6853,2159,Wolf,None,Holy,None,Acquamarine,None,Light Beige,Blasé,None,None,80s Gym,Regular
966,207.0,218,Samurai Helmet,None,Player,None,Baby Yellow,None,Light Brown,Laser Eyes,None,None,Kimono,Regular
967,139.4598,2523,None,None,Rockstar,None,Celadon,Keith G.,Light Beige,Angry,None,None,Mustard Polo,Drooling
968,188.3044,1194,Wolf,None,Rockstar,None,Orange Sherbet,None,Light Beige,YOLO-ed life savings,None,None,Rough Night T,Drooling
969,187.9074,989,None,None,Player,None,Indigo,Lil Chaddy,Dark Brown,Hypnotized,None,None,Hawaiian Shirt,Paint Mask
970,149.3161,2417,None,None,Rockstar,None,Acquamarine,Slicked Back,Light Beige,Regular,None,None,Ape Suit,Regular
971,78.0,144,Oil Tycoon,None,Player,None,Acquamarine,Murica,Light Beige,Villain Monocle,Rekt,None,Yakuza,Regular
972,263.77,861,None,Thick Beard,Rockstar,None,Chrome,Green Fro,Light Brown,Founder Life,None,Silver Ring,Golf Polo,Charming Smile
973,243.8668,496,None,Verdi Beard,Italian,None,Acquamarine,Rainbow Fro,Light Brown,Regular,69,Double Helix,Gold Suit,Regular
974,160.9247,1696,Balaklava,None,Player,None,Vice City Pink,None,Light Brown,Stoned,None,None,WSC Trader,Bubble Gum
975,194.8397,1250,None,None,Player,None,Vice City Pink,Frazzled Bleached,Dark Brown,Black Wayfarer,Rekt,None,Rambo,Rainbow Grillz
976,110.5562,2985,None,None,Holy,None,Baby Yellow,Long Red Hair,Zombie,Regular,None,None,Friday Night Blazer,Shocked
977,199.5301,853,BlackBerry Cap,None,Rockstar,None,Chrome,None,Light Brown,Clockwork Orange,None,Silver Ring,Black Jeans Jacket,Charming Smile
978,207.9955,896,None,None,Italian,None,Indigo,Top Knot,Light Beige,Stoned,None,Diamond Stud & Cross,Ape Suit,420
979,156.1418,1930,None,None,Rockstar,None,Malibu Blue,Slicked Back,Light Brown,VR Headset,None,None,Exec Suit,Charming Smile
980,157.8926,2353,None,None,Rockstar,None,Indigo,Rainbow Fro,Light Beige,AR Glasses,Rekt,None,GME T,Regular
981,219.8573,1913,None,Thick Beard,Holy,None,Orange Sherbet,Dreadlocks,Light Beige,YOLO-ed life savings,None,None,BTFD T,Bubble Gum
982,169.6296,1477,Doge Hat,None,Player,None,Orange Sherbet,Michael B.,Dark Brown,Hypnotized,None,None,80s Gym,Psycho Smile
983,151.0091,2135,WSC Cap,None,Rockstar,None,Indigo,None,Light Brown,Swimmies,None,None,This Guy F*cks Suit,Regular
984,174.0,256,None,None,Holy,Chad Mask,Vice City Pink,Rainbow Fro,Dark Brown,Clockwork Orange,None,None,Puffer Vest,Psycho Smile
985,153.7367,2118,WSC Cap,None,Italian,None,Vice City Pink,None,Robot,Possessed,None,None,Turtleneck,Killer Smile
986,169.3991,1543,None,None,Player,None,Baby Yellow,Luscious Brown,Light Beige,VR Headset,None,Double Helix,Wen Moon T,Shocked
987,192.2235,1076,None,None,Player,None,Orange Sherbet,Hipster Beanie,Light Brown,Fear & Loathing,Tear Drop,None,Turtleneck,420
988,182.8525,1148,None,None,Player,None,Malibu Blue,Green Fro,Dark Brown,YOLO-ed life savings,None,Diamond Stud & Cross,Playful Shirt,Bubble Gum
989,112.1338,3024,None,None,Rockstar,None,Celadon,Surfer,Light Brown,YOLO-ed life savings,None,None,WSC Black T,Regular
990,169.7038,1444,None,None,Player,None,Baby Yellow,Lil Chaddy,Light Beige,Possessed,None,None,Playful Shirt,Cuban Cigar
991,172.3808,1883,Pirate,Verdi Beard,Player,None,Acquamarine,Michael B.,Robot,Possessed,None,None,Black Tuxedo,Bubble Gum
992,198.1449,957,Ushanka,None,Player,None,Chrome,Michael B.,Zombie,Aviators Cyborg,Rekt,None,Analyst Blazer,Charming Smile
993,270.4426,391,None,None,Player,None,Indigo,Surfer,Light Beige,Hypnotized,None,None,I Like The Stock T,420
994,250.8043,1,Red Beanie,Verdi Beard,Player,None,Celadon,Michael B.,Light Brown,Angry,69,Helix Set,Analyst Blazer,Marlboro Red
995,212.1348,710,Robin Hood Hat,None,Rockstar,None,Celadon,Murica,Light Beige,Blasé,None,None,Black Jeans Jacket,Regular
996,138.8104,2457,None,None,Player,None,Malibu Blue,Balding,Light Beige,Cyborg,None,None,Degen T,Regular
997,211.5891,769,None,None,Rockstar,None,Malibu Blue,Green Fro,Psychedelic,Regular,None,Diamond Stud & Cross,Rough Night T,Regular
998,28.0,18,King's Crown,None,Holy,None,Indigo,Balding,Robot,Stoned,Bowie,Silver Ring,Playful Shirt,Paint Mask
999,261.0223,95,Ninja Mask,None,Holy,None,Orange Sherbet,None,Light Brown,Hypnotized,None,None,Varsity Jacket,None
1000,211.0296,1066,None,None,Player,Chad Mask,Vice City Pink,Black Fro,Light Brown,Clockwork Orange,None,None,WSC Red T,Psycho Smile
1001,180.8184,1308,Wolf,None,Player,None,Acquamarine,None,Robot,Regular,None,None,WSC Black T,Vampire
1002,191.2341,1293,Samurai Helmet,None,Italian,None,Acquamarine,None,Dark Brown,Stoned,None,None,Much Wow T,Killer Smile
1003,156.4395,1812,None,None,Rockstar,None,Acquamarine,Surfer,Light Brown,Hypnotized,None,None,Playful Shirt,The pipe
1004,187.319,1020,None,None,Player,None,Malibu Blue,Top Knot,Robot,Cyborg,None,Helix Set,GME T,Regular
1005,131.9172,2867,None,None,Holy,None,Chrome,Surfer,Dark Brown,Regular,Tear Drop,None,Kimono,Killer Smile
1006,163.9101,1660,None,None,Rockstar,None,Malibu Blue,Frazzled Bleached,Robot,VR Headset,None,None,Blue Jeans Jacket,Regular
1007,257.0128,405,None,None,Holy,None,Celadon,Luscious Brown,Light Brown,Bezos Glasses,None,None,Astronaut,Charming Smile
1008,202.0793,841,Balaklava,None,Holy,None,Malibu Blue,None,Zombie,Blasé,None,None,Gala Suit,420
1009,240.4368,497,Saudi Prince,None,Player,None,Baby Yellow,Balding,Light Brown,Oval White Glasses,None,None,Much Wow T,Killer Smile
1010,183.1619,1917,Pirate,None,Italian,None,Celadon,Michael B.,Robot,YOLO-ed life savings,Bowie,None,WcDonalds GM,Bubble Gum
1011,234.1316,341,Oil Tycoon,None,Player,None,Malibu Blue,Michael B.,Dark Brown,Regular,69,Silver Ring,Hodl 2 Moon T,The pipe
1012,179.8855,1323,None,None,Holy,None,Celadon,Keith G.,Light Beige,Oval White Glasses,None,None,Golf Polo,The pipe
1013,142.6026,2176,None,None,Holy,None,Malibu Blue,Rainbow Fro,Dark Brown,Oval White Glasses,None,Silver Ring,WSC Trader,420
1014,178.0071,1518,None,None,Holy,None,Chrome,Surfer,Dark Brown,Angry,Tear Drop,None,Hodl 2 Moon T,Marlboro Red
1015,219.8041,636,Doge Hat,None,Holy,None,Celadon,Michael B.,Zombie,The Gambler,Tear Drop,None,WSC Red T,The pipe
1016,170.2955,1538,None,None,Holy,None,Orange Sherbet,Surfer,Light Brown,YOLO-ed life savings,None,None,This Guy F*cks Suit,Marlboro Red
1017,206.7946,1441,None,None,Holy,None,Celadon,Rainbow Fro,Light Beige,Aviators Cyborg,Barbed Wire,None,WSC Trader,Regular
1018,154.7015,2006,Samurai Helmet,None,Rockstar,None,Celadon,None,Light Beige,Swimmies,None,None,Hawaiian Shirt,Bubble Gum
1019,182.6565,1160,Ushanka,None,Player,None,Celadon,Michael B.,Dark Brown,Angry,None,Double Helix,Kimono,Vampire
1020,103.6597,3054,None,None,Holy,None,Malibu Blue,Hipster Beanie,Light Beige,Angry,None,None,Cookies N Cream Suit,Shocked
1021,100.0991,3104,None,None,Holy,None,Orange Sherbet,Michael B.,Light Brown,Angry,None,None,Degen T,Killer Smile
1022,123.5474,3000,None,None,Rockstar,None,Orange Sherbet,Mullet,Light Beige,Regular,Tear Drop,None,Turtleneck,Regular
1023,140.4206,2878,Helicopter Cap,Verdi Beard,Rockstar,None,Indigo,None,Light Brown,Regular,None,None,WSC Trader,Regular
1024,164.8714,1752,WSC Cap,None,Holy,None,Acquamarine,None,Light Beige,Black Wayfarer,None,None,WSC Black T,Rainbow Grillz
1025,108.6511,3021,None,None,Rockstar,None,Orange Sherbet,Dreadlocks,Light Brown,Regular,None,None,Friday Night Blazer,Killer Smile
1026,226.9857,621,Doge Hat,None,Player,None,Chrome,Michael B.,Psychedelic,Oval White Glasses,Tear Drop,None,"""Investor"" T",Killer Smile
1027,120.357,2807,Oil Tycoon,None,Holy,None,Chrome,Michael B.,Dark Brown,Stoned,None,None,Friday Night Blazer,Regular
1028,179.0,238,None,None,Player,None,Orange Sherbet,Mullet,Light Brown,Angry,Rekt,Silver Ring,Yakuza,Drooling
1029,136.6068,2546,None,None,Player,None,Malibu Blue,Dreadlocks,Light Brown,Angry,None,None,Hodl 2 Moon T,Regular
1030,148.6087,2136,None,None,Player,None,Orange Sherbet,Surfer,Zombie,Black Wayfarer,None,None,Mustard Polo,420
1031,235.3613,447,None,None,Holy,None,Baby Yellow,Black Fro,Gold,Clockwork Orange,None,None,Wen Moon T,Charming Smile
1032,257.6642,513,None,None,Player,None,Orange Sherbet,Keith G.,Dark Brown,YOLO-ed life savings,None,None,Emperor Gown,Regular
1033,207.7288,675,Red Beanie,None,Rockstar,None,Chrome,Balding,Light Brown,AR Glasses,None,Helix Set,Turtleneck,The pipe
1034,247.6019,1122,None,Thick Beard,Holy,None,Acquamarine,Michael B.,Light Beige,Swimmies,None,Helix Set,Knight Armor,Regular
1035,132.7637,2627,None,None,Player,None,Indigo,Fresh Cut,Zombie,YOLO-ed life savings,None,None,Blue Jeans Jacket,Charming Smile
1036,141.5201,2581,None,None,Rockstar,None,Malibu Blue,Fresh Cut,Light Brown,Angry,None,None,Gold Suit,Regular
1037,242.1694,459,Gamer Headset,None,Player,None,Celadon,Balding,Psychedelic,Black Wayfarer,None,None,Rambo,Psycho Smile
1038,124.8931,2821,None,None,Holy,None,Indigo,Surfer,Dark Brown,Possessed,None,None,WSC Black T,Charming Smile
1039,256.931,505,Fast Food Cap,None,Player,None,Vice City Pink,None,Light Brown,Cyborg,69,Helix Set,Turtleneck,The pipe
1040,277.0,222,Black Beanie,Verdi Beard,Holy,None,Chrome,None,Light Beige,Hypnotized,Bowie,Helix Set,This Guy F*cks Suit,The pipe
1041,143.9889,2300,None,None,Player,None,Acquamarine,Michael B.,Light Beige,Black Wayfarer,None,Helix Set,Degen T,Drooling
1042,197.7341,828,Pirate,None,Rockstar,None,Baby Yellow,Balding,Light Beige,AR Glasses,None,Helix Set,GME T,Shocked
1043,148.854,2047,None,None,Italian,None,Orange Sherbet,Frazzled Bleached,Psychedelic,Hypnotized,None,None,Friday Night Blazer,Shocked
1044,140.5631,2388,None,None,Holy,None,Orange Sherbet,Michael B.,Light Beige,Founder Life,None,Silver Ring,Degen T,Cuban Cigar
1045,257.3804,419,Helicopter Cap,None,Holy,None,Chrome,None,Dark Brown,Angry,None,Gold Pendant,Paper Hands,Bubble Gum
1046,223.8179,652,None,None,Player,None,Celadon,Keith G.,Light Beige,Oval White Glasses,None,None,Puffer Vest,Regular
1047,149.1272,2114,None,None,Rockstar,None,Malibu Blue,Lil Chaddy,Dark Brown,Blasé,None,None,Exec Suit,Shocked
1048,131.4593,2713,None,None,Italian,None,Malibu Blue,Keith G.,Dark Brown,YOLO-ed life savings,None,None,WSC Trader,Psycho Smile
